Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Metrics/TestEpRet,Metrics/TestEpCost,Metrics/TestEpLen,Train/Epoch,Train/LR,TotalEnvSteps,Loss/Loss_pi,Loss/Loss_pi/Delta,Loss/Loss_reward_critic,Loss/Loss_reward_critic/Delta,Value/reward_critic,Time/Total,Time/Rollout,Time/Update,Time/Evaluate,Time/Epoch,Time/FPS,Value/alpha
-0.9667277932167053,0.0,200.0,-0.9940232038497925,0.0,200.0,0.0,0.0003000000142492354,6000.0,0.0,0.0,0.0,0.0,0.0,359.6656799316406,347.2314453125,0.11666727066040039,12.302669525146484,359.6656799316406,16.682159423828125,0.0005000000237487257
-0.9364781975746155,0.0,200.0,-0.882312536239624,0.0,200.0,1.0,0.0003000000142492354,12000.0,-0.012072325684130192,-0.012072325684130192,1.3351335837796796e-05,1.3351335837796796e-05,0.01932317391037941,1071.715087890625,581.1322021484375,32.54557800292969,98.3355712890625,712.0330810546875,8.42657470703125,0.0005000000237487257
-0.8433976173400879,0.0,200.0,-0.8550294041633606,0.0,200.0,2.0,0.0003000000142492354,18000.0,-0.013430943712592125,-0.0013586180284619331,8.227501893998124e-06,-5.123833943798672e-06,0.012757141143083572,3339.549560546875,2126.966796875,110.77204132080078,30.046497344970703,2267.81396484375,2.6457197666168213,0.0005000000237487257
-0.8171948194503784,0.0,200.0,-0.8637795448303223,0.0,200.0,3.0,0.0003000000142492354,24000.0,0.048335179686546326,0.06176612339913845,8.247069672506768e-06,1.956777850864455e-08,-0.04901311174035072,5621.4677734375,2156.966064453125,96.11050415039062,28.77800750732422,2281.885498046875,2.629404306411743,0.0005000000237487257
-0.8097033500671387,0.0,200.0,-0.8421039581298828,0.0,200.0,4.0,0.0003000000142492354,30000.0,0.09608759731054306,0.047752417623996735,9.228715498466045e-06,9.816458259592764e-07,-0.09681130200624466,7909.76220703125,2174.447998046875,69.33025360107422,44.44961929321289,2288.258056640625,2.622081756591797,0.0005000000237487257
-0.7749344706535339,0.0,198.66000366210938,-0.8347960114479065,0.0,200.0,5.0,0.0003000000142492354,36000.0,0.13720117509365082,0.04111357778310776,8.154276292771101e-05,7.231404742924497e-05,-0.13773350417613983,9132.3193359375,1118.8411865234375,68.48326110839844,35.17961883544922,1222.534912109375,4.907835006713867,0.0005000000237487257
-0.8057339191436768,0.0,200.0,-0.8261318206787109,0.0,200.0,6.0,0.0003000000142492354,42000.0,0.16889968514442444,0.03169851005077362,6.069274604669772e-05,-2.085001688101329e-05,-0.1695442646741867,10644.4970703125,1391.35595703125,76.07299041748047,44.69581604003906,1512.1546630859375,3.967848300933838,0.0005000000237487257
-0.7723957896232605,0.0,197.3000030517578,-0.8246514797210693,0.0,200.0,7.0,0.0003000000142492354,48000.0,0.19386465847492218,0.02496497333049774,7.523727254010737e-05,1.4544526493409649e-05,-0.1944105476140976,11913.884765625,1174.15625,66.25473022460938,28.92860984802246,1269.36962890625,4.726755619049072,0.0005000000237487257
-0.7315660119056702,0.0,195.8800048828125,-0.625091016292572,0.0,182.3333282470703,8.0,0.0003000000142492354,54000.0,0.21742098033428192,0.02355632185935974,0.00011282422201475129,3.7586949474643916e-05,-0.21791495382785797,13180.9248046875,1192.7674560546875,67.71723175048828,6.5016021728515625,1267.01611328125,4.735535621643066,0.0005000000237487257
-0.6838623881340027,0.0,192.5399932861328,-0.6477896571159363,0.0,184.10000610351562,9.0,0.0003000000142492354,60000.0,0.23775595426559448,0.02033497393131256,0.00016296365356538445,5.013943155063316e-05,-0.23808328807353973,14679.8955078125,1401.7421875,65.58961486816406,31.59502410888672,1498.9564208984375,4.002784729003906,0.0005000000237487257
